"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes","colour"
"1",1,"+","BGCv11","BAFA","BAFA","BAFAun","BAFAun","Undifferentiated BAFA","Boreal Altai Fescue Alpine","Undifferentiated","","","","BC","BC","","#E2F5F1FF"
"2",1,"-","BGCv11","BAFA","BAFA","BAFAun","BAFAun","Undifferentiated BAFA","Boreal Altai Fescue Alpine","Undifferentiated","","","","BC","BC","",""
"3",2,"+","BGCv11","BAFA","BAFA","BAFAunp","BAFAunp","Undifferentiated and Parkland BAFA","Boreal Altai Fescue Alpine","Undifferentiated and Parkland","","","","BC","BC","","#F0E1DDFF"
"4",2,"-","BGCv11","BAFA","BAFA","BAFAunp","BAFAunp","Undifferentiated and Parkland BAFA","Boreal Altai Fescue Alpine","Undifferentiated and Parkland","","","","BC","BC","",""
"5",3,"+","USA_2019","BG","BG","BGdh","BGdh_OR","Dry Hot Oregon BG","Bunchgrass","Dry Hot","Oregon","SE Oregon, S Idaho, N Nevada","BG  xhy","USA","OR","","#E8241AFF"
"6",3,"-","USA_2019","BG","BG","BGdh","BGdh_OR","Dry Hot Oregon BG","Bunchgrass","Dry Hot","Oregon","SE Oregon, S Idaho, N Nevada","BG  xhy","USA","OR","",""
"7",4,"+","USA_2019","BG","BG","BGdw","BGdw_OR","Dry Warm Oregon BG","Bunchgrass","Dry Warm","Oregon","NE Oregon","","USA","OR","","#F5453FFF"
"8",4,"-","USA_2019","BG","BG","BGdw","BGdw_OR","Dry Warm Oregon BG","Bunchgrass","Dry Warm","Oregon","NE Oregon","","USA","OR","",""
"9",5,"+","USA_2019","BG","BG","BGdw","BGdw_WA","Dry Warm Washington BG","Bunchgrass","Dry Warm","Washington","C Washington","BG  mmz","USA","WA","","#EB2A24FF"
"10",5,"-","USA_2019","BG","BG","BGdw","BGdw_WA","Dry Warm Washington BG","Bunchgrass","Dry Warm","Washington","C Washington","BG  mmz","USA","WA","",""
"11",6,"+","USA_2019","BG","BG","BGmk","BGmk_MT","Moist Cool Montana BG","Bunchgrass","Moist Cool","Montana","SW Montana, EC Idaho","BG  mmx","USA","MT","","#E33339FF"
"12",6,"-","USA_2019","BG","BG","BGmk","BGmk_MT","Moist Cool Montana BG","Bunchgrass","Moist Cool","Montana","SW Montana, EC Idaho","BG  mmx","USA","MT","",""
"13",7,"+","USA_2019","BG","BG","BGmk","BGmk_NV","Moist Cool Nevada BG","Bunchgrass","Moist Cool","Nevada","N Nevada, S Oregon, S Idaho","","USA","NV","","#E25069FF"
"14",7,"-","USA_2019","BG","BG","BGmk","BGmk_NV","Moist Cool Nevada BG","Bunchgrass","Moist Cool","Nevada","N Nevada, S Oregon, S Idaho","","USA","NV","",""
"15",8,"+","USA_2019","BG","BG","BGmm","BGmm_MT","Moist Mild Montana BG","Bunchgrass","Moist Mild","Montana","E Wyoming, S Montana","","USA","MT","","#CD423FFF"
"16",8,"-","USA_2019","BG","BG","BGmm","BGmm_MT","Moist Mild Montana BG","Bunchgrass","Moist Mild","Montana","E Wyoming, S Montana","","USA","MT","",""
"17",9,"+","USA_2019","BG","BG","BGmw","BGmw_OR","Moist Warm Oregon BG","Bunchgrass","Moist Warm","Oregon","NE Oregon","","USA","OR","","#C6330AFF"
"18",9,"-","USA_2019","BG","BG","BGmw","BGmw_OR","Moist Warm Oregon BG","Bunchgrass","Moist Warm","Oregon","NE Oregon","","USA","OR","",""
"19",10,"+","USA_2019","BG","BG","BGmw","BGmw_WA","Moist Warm Washington BG","Bunchgrass","Moist Warm","Washington","C Washington","BG  dwz","USA","WA","","#E4585DFF"
"20",10,"-","USA_2019","BG","BG","BGmw","BGmw_WA","Moist Warm Washington BG","Bunchgrass","Moist Warm","Washington","C Washington","BG  dwz","USA","WA","",""
"21",11,"+","USA_2019","BG","BG","BGwm","BGwm_WA","Wet Mild Washington BG","Bunchgrass","Wet Mild","Washington","C Washington","BG  wmz","USA","WA","","#D51925FF"
"22",11,"-","USA_2019","BG","BG","BGwm","BGwm_WA","Wet Mild Washington BG","Bunchgrass","Wet Mild","Washington","C Washington","BG  wmz","USA","WA","",""
"23",12,"+","BGCv11","BG","BG","BGxh","BGxh1","Okanagan Very Dry Hot BG","Bunchgrass","Very Dry Hot","Okanagan","","","BC","BC","","#E53443FF"
"24",12,"-","BGCv11","BG","BG","BGxh","BGxh1","Okanagan Very Dry Hot BG","Bunchgrass","Very Dry Hot","Okanagan","","","BC","BC","",""
"25",13,"+","BGCv11","BG","BG","BGxh","BGxh2","Thompson Very Dry Hot BG","Bunchgrass","Very Dry Hot","Thompson","","","BC","BC","","#D72828FF"
"26",13,"-","BGCv11","BG","BG","BGxh","BGxh2","Thompson Very Dry Hot BG","Bunchgrass","Very Dry Hot","Thompson","","","BC","BC","",""
"27",14,"+","BGCv11","BG","BG","BGxh","BGxh3","Fraser Very Dry Hot BG","Bunchgrass","Very Dry Hot","Fraser","","","BC","BC","","#E75E63FF"
"28",14,"-","BGCv11","BG","BG","BGxh","BGxh3","Fraser Very Dry Hot BG","Bunchgrass","Very Dry Hot","Fraser","","","BC","BC","",""
"29",15,"+","USA_2019","BG","BG","BGxh","BGxh_WA","Very Dry Hot Washington BG","Bunchgrass","Very Dry Hot","Washington","C Washington","BG  xhz","USA","WA","","#DB1010FF"
"30",15,"-","USA_2019","BG","BG","BGxh","BGxh_WA","Very Dry Hot Washington BG","Bunchgrass","Very Dry Hot","Washington","C Washington","BG  xhz","USA","WA","",""
"31",16,"+","BGCv11","BG","BG","BGxw","BGxw1","Nicola Very Dry Warm BG","Bunchgrass","Very Dry Warm","Nicola","","","BC","BC","","#D64945FF"
