BGC,SS_NoSpace,Special,SpecialCode
BGxh1,BGxh1/Fm01,Mid fluvial bench,Fm
BGxh1,BGxh1/Fm06,Mid fluvial bench,Fm
BGxh2,BGxh2/Fm01,Mid fluvial bench,Fm
BGxh2,BGxh2/Fm05,Mid fluvial bench,Fm
BGxh2,BGxh2/Fm06,Mid fluvial bench,Fm
BGxh3,BGxh3/110,Cool aspects/cold air,CAS
BGxh3,BGxh3/112,Mid fluvial bench,Fm
BGxh3,BGxh3/113,Mid fluvial bench,Fm
BGxw1,BGxw1/Fm01,Mid fluvial bench,Fm
BGxw1,BGxw1/Fm05,Mid fluvial bench,Fm
BGxw2,BGxw2/110,Cool aspects/cold air,CAS
BGxw2,BGxw2/111,Cool aspects/cold air,CAS
BGxw2,BGxw2/112,Mid fluvial bench,Fm
BWBSdk,BWBSdk/103,Insolation,IN
BWBSdk,BWBSdk/104,Cool aspects/cold air,CA
BWBSdk,BWBSdk/104a,Cool aspects/cold air,CA
BWBSdk,BWBSdk/104b,Cool aspects/cold air,CA
BWBSdk,BWBSdk/110,High fluvial bench,Fh
BWBSdk,BWBSdk/111,Mid fluvial bench,Fm
BWBSdk,BWBSdk/112,Mid fluvial bench,Fm
BWBSdk,BWBSdk/Gb,Insolation,IN2
BWBSdk,BWBSdk/Gg,Insolation,IN2
BWBSmk,BWBSmk/103,Insolation,IN
BWBSmk,BWBSmk/104,Cool aspects/cold air,CA
BWBSmk,BWBSmk/104a,Cool aspects/cold air,CA
BWBSmk,BWBSmk/104b,Cool aspects/cold air,CA
BWBSmk,BWBSmk/111,High fluvial bench,Fh
BWBSmk,BWBSmk/112,Mid fluvial bench,Fm
BWBSmk,BWBSmk/Gg,Insolation,IN2
BWBSmw,BWBSmw/103,Insolation,IN
BWBSmw,BWBSmw/104,Cool aspects/cold air,CA
BWBSmw,BWBSmw/111,High fluvial bench,Fh
BWBSmw,BWBSmw/112,Mid fluvial bench,Fm
BWBSmw,BWBSmw/Gg,Insolation,IN2
BWBSwk1,BWBSwk1/103,Insolation,IN
BWBSwk1,BWBSwk1/104,Cool aspects/cold air,CA
BWBSwk1,BWBSwk1/111,Cold air influence,CA
BWBSwk2,BWBSwk2/103,Insolation,IN
BWBSwk2,BWBSwk2/104,Cool aspects/cold air,CA
BWBSwk2,BWBSwk2/111,High fluvial bench,Fh
BWBSwk2,BWBSwk2/Gg,Insolation,IN2
BWBSwk3,BWBSwk3/103,Cool aspects/cold air,CA
CWHvh3,CWHvh3/103,Salt Spray,SS
CWHvh3,CWHvh3/103.1,Salt Spray,SS
CWHvh3,CWHvh3/103.2,Salt Spray,SS
CWHvh3,CWHvh3/104,Salt Spray,SS
CWHvh2,CWHvh3/110b,High fluvial bench,Fh
CWHvh3,CWHvh3/111,High fluvial bench,Fh
CWHvh3,CWHvh3/112,Mid fluvial bench,Fm
CWHvh3,CWHvh3/113,Low fluvial bench,Fl
CWHvh3,CWHvh3/116,Salt Spray,SS
CWHwh1,CWHwh1/103,Salt Spray,SS
CWHwh1,CWHwh1/103.1,Salt Spray,SS
CWHwh1,CWHwh1/103.2,Salt Spray,SS
CWHwh1,CWHwh1/104,Salt Spray,SS
CWHwh1,CWHwh1/111b,High fluvial bench,Fh
CWHwh1,CWHwh1/112,High fluvial bench,Fh
CWHwh1,CWHwh1/113,Mid fluvial bench,Fm
CWHwh1,CWHwh1/114,Low fluvial bench,Fl
CWHwh1,CWHwh1/117,Salt Spray,SS
CWHwh2,CWHwh2/112a,High fluvial bench,Fh
ESSFdc2,ESSFdc2/103,Insolation,IN
ESSFdc2,ESSFdc2/110,Cold air influence,CA
ESSFdh1,ESSFdh1/104,Insolation,IN
ESSFdk1,ESSFdk1/103,Insolation,IN
ESSFdk1,ESSFdk1/111a,High fluvial bench,Fh
ESSFdk2,ESSFdk2/103,Insolation,IN
ESSFdk2,ESSFdk2/112a,High fluvial bench,Fh
ESSFmc,ESSFmc/08,Late Snow,SN
ESSFmcw,ESSFmcw/103,Late Snow,SN
ESSFmkw,ESSFmkw/103,Late Snow,SN
ESSFmv2,ESSFmv2/03,Cool aspects/cold air,CA
ESSFmv3,ESSFmv3/03,Cool aspects/cold air,CA
ESSFmv4,ESSFmv4/03,Cool aspects/cold air,CA
ESSFmw1,ESSFmw1/104,Insolation,IN
ESSFmw1,ESSFmw1/110,Cool aspects/cold air,CAS
ESSFwc3,ESSFwc3/03,Late Snow,SN
ESSFwc4,ESSFwc4/112a,High fluvial bench,Fh
ESSFwcw,ESSFwcw/104,Late Snow,SN
ESSFwh1,ESSFwh1/103,Insolation,IN
ESSFwh1,ESSFwh1/111a,High fluvial bench,Fh
ESSFwh2,ESSFwh2/103,Insolation,IN
ESSFwh2,ESSFwh2/112a,High fluvial bench,Fh
ESSFwh3,ESSFwh3/103,Insolation,IN
ESSFwh3,ESSFwh3/112a,High fluvial bench,Fh
ESSFwk1,ESSFwk1/04,Cold air influence,CA
ESSFwk1,ESSFwk1/06,Cold air influence,CA
ESSFwm1,ESSFwm1/103,Insolation,IN
ESSFwm1,ESSFwm1/104,Cool aspects/cold air,CAS
ESSFwm2,ESSFwm2/112a,High fluvial bench,Fh
ESSFwm3,ESSFwm3/103,Insolation,IN
ESSFwm3,ESSFwm3/104,Cool aspects/cold air,CAS
ESSFwm3,ESSFwm3/112a,High fluvial bench,Fh
ESSFwvw,ESSFwvw/103,Late Snow,SN
ESSFwvw,ESSFwvw/105,Cool aspects/cold air,CAS
ESSFxc1,ESSFxc1/110,Cool aspects/cold air,CAS
ESSFxc2,ESSFxc2/110,Cool aspects/cold air,CAS
ESSFxv1,ESSFxv1/04,Insolation,IN
ESSFxv1,ESSFxv1/05,Cool aspects/cold air,CAS
ESSFxv1,ESSFxv1/06,Cool aspects/cold air,CAS
ESSFxv1,ESSFxv1/08,Cold air influence,CA
ICHdk,ICHdk/02a,Insolation,IN
ICHdk,ICHdk/03,Cool aspects/cold air,CA
ICHdk,ICHdk/07,Cold air influence,CA
ICHdm,ICHdm/112,Cold air influence,CA
ICHdm,ICHdm/Fm01,Mid fluvial bench,Fm
ICHdm,ICHdm/Fm02,Mid fluvial bench,Fm
ICHdm,ICHdm/Fm04,Mid fluvial bench,Fm
ICHdw1,ICHdw1/103,Insolation,IN
ICHdw1,ICHdw1/Fm01,Mid fluvial bench,Fm
ICHdw1,ICHdw1/Fm02,Mid fluvial bench,Fm
ICHdw1,ICHdw1/Fm04,Mid fluvial bench,Fm
