"","SS_NoSpace","SiteSeriesLongName","SpecialCode","Special"
"58","BGxh2/Fm06","Cottonwood – Poison ivy – Rose","Fm","mid fluvial bench"
"59","BGxh2/Ga01","Saltgrass","Ga","alkaline meadow"
"60","BGxh2/Ga01.1","Saltgrass","Ga","alkaline meadow"
"61","BGxh2/Ga02","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"62","BGxh2/Ga02.1","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"63","BGxh2/Ga02.2","Foxtail barley – Nuttall's alkaligrass","Ga","alkaline meadow"
"64","BGxh2/Ga05","Giant wildrye","Ga","alkaline meadow"
"65","BGxh2/Ga06","Seablite","Ga","alkaline meadow"
"66","BGxh2/Gb02","Saskatoon – Snowberry – Bluebunch wheatgrass","Gb","brushland"
"67","BGxh2/Gg03","Bluebunch wheatgrass – Selaginella","Gg","grassland "
"68","BGxh2/Gg10","Rough fescue – Bluebunch wheatgrass","Gg","grassland "
"69","BGxh2/Gg10$2.1","Bluebunch wheatgrass – Junegrass – Sandberg's bluegrass","Gg","grassland "
"70","BGxh2/Gg10$3.1","Big sagebrush – Bluebunch wheatgrass – Rough fescue","Gg","grassland "
"71","BGxh2/Gg12","Rough fescue – Yarrow – Three-flowered avens","Gg","grassland "
"72","BGxh2/Gg12$2.1","Rough fescue – Bluebunch wheatgrass – Yellow salsify","Gg","grassland "
"73","BGxh2/Gg12$2.2","Spreading needlegrass – Rough fescue – Kentucky bluegrass","Gg","grassland "
"74","BGxh2/Gg12$2.3","Spreading needlegrass – Columbia needlegrass","Gg","grassland "
"75","BGxh2/Gg12$2.5","Kentucky bluegrass – Yarrow","Gg","grassland "
"76","BGxh2/Gg12.1","Rough fescue – Yarrow – Three-flowered avens","Gg","grassland "
"77","BGxh2/Gg25","Sand dropseed – Needle-and-thread grass","Gg","grassland "
"78","BGxh2/Gg28","Sand needlegrass – Sand dropseed","Gg","grassland "
"79","BGxh2/Gs01","Big sagebrush – Bluebunch wheatgrass","Gs","shrub-steppe"
"80","BGxh2/Gs01$2.1","Bluebunch wheatgrass – Sagewort – Sandberg's bluegrass","Gs","shrub-steppe"
"81","BGxh2/Gs01$2.2","Needle-and-thread grass – Cheatgrass","Gs","shrub-steppe"
"82","BGxh2/Gs01$3.1","Big sagebrush – Needle-and-thread grass","Gs","shrub-steppe"
"83","BGxh2/Gs03","Big sagebrush – Bluebunch wheatgrass – Screw moss","Gs","shrub-steppe"
"84","BGxh2/Gs05","Rocky Mountain juniper – Big sagebrush – Bluebunch wheatgrass","Gs","shrub-steppe"
"85","BGxh2/Ro01","Selaginella – Bluebunch wheatgrass – Screw moss","Ro","rocky outcrop"
"86","BGxh2/Ro01.1","Selaginella – Bluebunch wheatgrass – Screw moss","Ro","rocky outcrop"
"87","BGxh2/Ro01.2","Selaginella – Screw moss","Ro","rocky outcrop"
"88","BGxh2/Ro04","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"89","BGxh2/Ro04.1","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"90","BGxh2/Ro04.2","Rabbit-brush – Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"91","BGxh2/Rt05","Big sagebrush – Saskatoon – Bluebunch wheatgrass","Rt","talus"
"92","BGxh2/Wm02","Water horsetail – Beaked sedge","Wm","wetland marsh"
"93","BGxh2/Wm04","Common spikerush","Wm","wetland marsh"
"94","BGxh2/Wm05","Cattail","Wm","wetland marsh"
"95","BGxh2/Wm06","Soft-stemmed bulrush","Wm","wetland marsh"
"96","BGxh2/Wm08","Three-square bulrush","Wm","wetland marsh"
"97","BGxh2/Wm11","Seacoast bulrush","Wm","wetland marsh"
"98","BGxh3/101","Big sagebrush – Bluebunch wheatgrass",NA,NA
"99","BGxh3/110","Fd – Bluebunch wheatgrass – Step moss","CAS","cold aspects"
"100","BGxh3/111","Fd – Rocky Mountain juniper – Bluebunch wheatgrass",NA,NA
"101","BGxh3/112","Act – Snowberry – Rose","Fm","mid fluvial bench"
"102","BGxh3/113","Act(Fd) – Douglas' maple – Snowberry","Fm","mid fluvial bench"
"103","BGxh3/Ff01","Water birch – Red-osier dogwood – Rose","Ff","fringe fluvial "
"104","BGxh3/Ff01a","Water birch – Red-osier dogwood – Rose; Fringe phase","Ff","fringe fluvial "
"105","BGxh3/Ff02","Snowberry – Prairie rose","Ff","fringe fluvial "
"106","BGxh3/Ff03","Water birch – Rose – Giant wildrye","Ff","fringe fluvial "
"107","BGxh3/Fl06","Sandbar willow – Scouring-rush","Fl","low fluvial bench"
"108","BGxh3/Gg03","Bluebunch wheatgrass – Selaginella","Gg","grassland "
"109","BGxh3/Gg04","Bluebunch wheatgrass – Junegrass – Pussytoes","Gg","grassland "
"110","BGxh3/Gg25","Sand dropseed – Needle-and-thread grass","Gg","grassland "
"111","BGxh3/Gg27","Needle-and-thread grass – Prairie sagewort","Gg","grassland "
"112","BGxh3/Gs02","Big sagebrush – Bluebunch wheatgrass – Sand dropseed","Gs","shrub-steppe"
"113","BGxh3/Gs02$2.1","Bluebunch wheatgrass","Gs","shrub-steppe"
"114","BGxh3/Gs02a","Big sagebrush – Bluebunch wheatgrass – Sand dropseed; Cool phase","Gs","shrub-steppe"
"115","BGxh3/Gs02b","Big sagebrush – Bluebunch wheatgrass – Sand dropseed; Warm phase","Gs","shrub-steppe"
"116","BGxh3/Gs05","Rocky Mountain juniper – Big sagebrush – Bluebunch wheatgrass","Gs","shrub-steppe"
"117","BGxh3/Ro04","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"118","BGxh3/Rt04","Saskatoon – Bluebunch wheatgrass","Rt","talus"
"119","BGxh3/Rt04a","Saskatoon – Bluebunch wheatgrass; Cool  phase","Rt","talus"
"120","BGxh3/Rt04b","Saskatoon – Bluebunch wheatgrass; Warm phase","Rt","talus"
"121","BGxh3/Wm04","Common spikerush","Wm","wetland marsh"
"122","BGxh3/Wm05","Cattail","Wm","wetland marsh"
"123","BGxh3/Wm06","Soft-stemmed bulrush","Wm","wetland marsh"
"124","BGxw1/101","Bluebunch wheatgrass – Junegrass – Pussytoes",NA,NA
"125","BGxw1/101$2.1","Needle-and-thread grass – Cheatgrass",NA,NA
"126","BGxw1/101$3.1","Big sagebrush – Bluebunch wheatgrass – Sandberg's bluegrass",NA,NA
"127","BGxw1/102","Py – Rabbit-brush – Bluebunch wheatgrass",NA,NA
"128","BGxw1/110","Py(Fd) – Bluebunch wheatgrass – Rough fescue",NA,NA
"129","BGxw1/111","Fd – Snowberry – Step moss",NA,NA
"130","BGxw1/Ff02","Snowberry – Prairie Rose","Ff","fringe fluvial "
"131","BGxw1/Ff04","Aspen – Snowberry – Roses","Ff","fringe fluvial "
"132","BGxw1/Ff05","Aspen – Dogwood – Nootka rose","Ff","fringe fluvial "
"133","BGxw1/Fl05","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"134","BGxw1/Fm01","Cottonwood – Snowberry – Rose","Fm","mid fluvial bench"
"135","BGxw1/Fm05","Cottonwood – Douglas-fir – Douglas' maple – Snowberry","Fm","mid fluvial bench"
"136","BGxw1/Ga01","Saltgrass","Ga","alkaline meadow"
"137","BGxw1/Ga01.1","Saltgrass","Ga","alkaline meadow"
"138","BGxw1/Ga02","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"139","BGxw1/Ga02.1","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"140","BGxw1/Ga02.2","Foxtail barley – Nuttall's alkaligrass","Ga","alkaline meadow"
"141","BGxw1/Ga05","Giant wildrye","Ga","alkaline meadow"
"142","BGxw1/Ga06","Seablite","Ga","alkaline meadow"
"143","BGxw1/Ga07","Red glasswort","Ga","alkaline meadow"
"144","BGxw1/Gb02","Saskatoon – Snowberry – Bluebunch wheatgrass","Gb","brushland"
"145","BGxw1/Gg01","Bluebunch wheatgrass – Prairie sagewort – Junegrass","Gg","grassland "
"146","BGxw1/Gg03","Bluebunch wheatgrass – Selaginella","Gg","grassland "
"147","BGxw1/Gg04","Bluebunch wheatgrass – Junegrass – Pussytoes","Gg","grassland "
"148","BGxw1/Gg04$2.1","Needle-and-thread grass – Cheatgrass","Gg","grassland "
"149","BGxw1/Gg04$3.1","Big sagebrush – Bluebunch wheatgrass – Sandberg's bluegrass","Gg","grassland "
"150","BGxw1/Gg10","Rough fescue – Bluebunch wheatgrass","Gg","grassland "
"151","BGxw1/Gg10$2.1","Bluebunch wheatgrass – Junegrass – Sandberg's bluegrass","Gg","grassland "
"152","BGxw1/Gg10$3.1","Big sagebrush – Bluebunch wheatgrass – Rough fescue","Gg","grassland "
"153","BGxw1/Gg12","Rough fescue – Yarrow – Three-flowered avens","Gg","grassland "
"154","BGxw1/Gg12$2.1","Rough fescue – Bluebunch wheatgrass – Yellow salsify","Gg","grassland "
"155","BGxw1/Gg12$2.2","Spreading needlegrass – Rough fescue – Kentucky bluegrass","Gg","grassland "
"156","BGxw1/Gg12$2.3","Spreading needlegrass – Columbia needlegrass","Gg","grassland "
"157","BGxw1/Gg12$2.5","Kentucky bluegrass – Yarrow","Gg","grassland "
"158","BGxw1/Gg12.1","Rough fescue – Yarrow – Three-flowered avens","Gg","grassland "
"159","BGxw1/Gg25","Sand dropseed – Needle-and-thread grass","Gg","grassland "
"160","BGxw1/Gs03","Big sagebrush – Bluebunch wheatgrass – Screw moss","Gs","shrub-steppe"
"161","BGxw1/Gs05","Rocky Mountain juniper – Big sagebrush – Bluebunch wheatgrass","Gs","shrub-steppe"
"162","BGxw1/Ro01","Selaginella – Bluebunch wheatgrass – Screw moss","Ro","rocky outcrop"
"163","BGxw1/Ro01.1","Selaginella – Bluebunch wheatgrass – Screw moss","Ro","rocky outcrop"
"164","BGxw1/Ro01.2","Selaginella – Screw moss","Ro","rocky outcrop"
"165","BGxw1/Ro04","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"166","BGxw1/Ro04.1","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"167","BGxw1/Ro04.2","Rabbit-brush – Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"168","BGxw1/Rt01","Rocktripe – Green map","Rt","talus"
"169","BGxw1/Rt04","Saskatoon – Bluebunch wheatgrass","Rt","talus"
"170","BGxw1/Rt05","Big sagebrush – Saskatoon – Bluebunch wheatgrass","Rt","talus"
"171","BGxw1/Wm02","Water horsetail – Beaked sedge","Wm","wetland marsh"
"172","BGxw1/Wm03","Awned sedge","Wm","wetland marsh"
"173","BGxw1/Wm04","Common spikerush","Wm","wetland marsh"
"174","BGxw1/Wm05","Cattail","Wm","wetland marsh"
"175","BGxw1/Wm06","Soft-stemmed bulrush","Wm","wetland marsh"
"176","BGxw1/Wm07","Baltic rush","Wm","wetland marsh"
"177","BGxw1/Wm08","Three-square bulrush","Wm","wetland marsh"
"178","BGxw1/Wm11","Seacoast bulrush","Wm","wetland marsh"
"179","BGxw1/Ws03","Bebb's willow – Bluejoint","Ws","wetland swamp"
"180","BGxw2/101","Bluebunch wheatgrass – Junegrass – Pussytoes",NA,NA
"181","BGxw2/101a","Bluebunch wheatgrass – Junegrass – Pussytoes; Typic phase",NA,NA
"182","BGxw2/101b","Bluebunch wheatgrass – Junegrass – Pussytoes; High Elevation phase",NA,NA
"183","BGxw2/101c","Bluebunch wheatgrass – Junegrass – Pussytoes; Steep Cool phase",NA,NA
"184","BGxw2/110","Fd – Rocky Mountain juniper – Bluebunch wheatgrass","CAS","cold aspects"
"185","BGxw2/111","Fd – Bluebunch wheatgrass – Step moss","CAS","cold aspects"
"186","BGxw2/112","Act – Snowberry – Rose","Fm","mid fluvial bench"
"187","BGxw2/113","Fd – Pinegrass – Feather moss",NA,NA
"188","BGxw2/114","At – Douglas' maple – Western snowberry",NA,NA
"189","BGxw2/115","At – Prairie rose – Western snowberry",NA,NA
"190","BGxw2/Ff01","Water birch – Red-osier dogwood – Rose","Ff","fringe fluvial "
"191","BGxw2/Ff01b","Water birch – Red-osier dogwood – Rose; Grassland draw phase","Ff","fringe fluvial "
"192","BGxw2/Ff02","Snowberry – Prairie rose","Ff","fringe fluvial "
"193","BGxw2/Ga01","Saltgrass","Ga","alkaline meadow"
"194","BGxw2/Ga02","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"195","BGxw2/Ga03","Field sedge","Ga","alkaline meadow"
"196","BGxw2/Gg01","Bluebunch wheatgrass – Prairie sagewort","Gg","grassland "
"197","BGxw2/Gg22","Spreading needlegrass – Northern bedstraw","Gg","grassland "
"198","BGxw2/Gg22$2.1","Kentucky bluegrass – Dandelion","Gg","grassland "
"199","BGxw2/Gg22a","Spreading needlegrass – Northern bedstraw; Depression phase","Gg","grassland "
"200","BGxw2/Gg22b","Spreading needlegrass – Northern bedstraw; Forest Edge phase","Gg","grassland "
"201","BGxw2/Gg24","Short-awned pocupinegrass – Junegrass – Clad lichen","Gg","grassland "
"202","BGxw2/Gg27","Needle-and-thread grass – Prairie sagewort","Gg","grassland "
"203","BGxw2/Gs01","Big sagebrush – Bluebunch wheatgrass","Gs","shrub-steppe"
"204","BGxw2/Ro04","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"205","BGxw2/Rt04","Saskatoon – Bluebunch wheatgrass","Rt","talus"
"206","BGxw2/Wm03","Awned sedge","Wm","wetland marsh"
"207","BGxw2/Wm04","Common spikerush","Wm","wetland marsh"
"208","BGxw2/Wm05","Cattail","Wm","wetland marsh"
"209","BGxw2/Wm06","Soft-stemmed bulrush","Wm","wetland marsh"
"210","BGxw2/Wm07","Baltic rush","Wm","wetland marsh"
"211","BGxw2/Wm09","Inflated sedge","Wm","wetland marsh"
"212","BGxw2/Wm12","Woolly sedge","Wm","wetland marsh"
"213","BWBSdk/101","Sw – Soopolallie – Step moss",NA,NA
"214","BWBSdk/101$6B.1","At – Soopolallie – High Bush-cranberry",NA,NA
"215","BWBSdk/101a","Sw – Soopolallie – Step moss; Mesic phase",NA,NA
"216","BWBSdk/101b","Sw – Soopolallie – Step moss; Subhygric phase",NA,NA
"217","BWBSdk/102","Pl – Kinnikinnick – Lingonberry",NA,NA
"218","BWBSdk/102$6B.1","At – Soopolallie – Kinnikinnick",NA,NA
"219","BWBSdk/103","SwPl – Soopolallie – Toad-flax","IN","insolation"
"220","BWBSdk/103$6B.1","At – Kinnikinnick – Fuzzy-spiked wildrye",NA,NA
"221","BWBSdk/104","Sb – Labrador tea – Step moss","CA","cold aspects - cold air"
"222","BWBSdk/104a","Sb – Labrador tea – Step moss; Freely drained phase",NA,NA
"223","BWBSdk/104b","Sw – Soopolallie – Step moss; Imperfectly drained phase",NA,NA
"224","BWBSdk/110","Sw – Currant – Horsetail","Fh","high fluvial bench"
"225","BWBSdk/110$6B.1","At – Horsetail – Step moss",NA,NA
"226","BWBSdk/111","Sw – Mountain alder – Horsetail","Fm","mid fluvial bench"
"227","BWBSdk/112","AcbSw – Mountain alder – Dogwood","Fm","mid fluvial bench"
"228","BWBSdk/Fl01","Mountain alder – Common horsetail","Fl","low fluvial bench"
"229","BWBSdk/Fl03","Pacific willow – Red-osier dogwood – Horsetail","Fl","low fluvial bench"
"230","BWBSdk/Fm20","Balsam Poplar – Spruce – Mountain alder – Dogwood","Fm","mid fluvial bench"
"231","BWBSdk/Ga02","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"232","BWBSdk/Gg51","Slender wildrye – Prairie wormwood","Gg","grassland "
"233","BWBSdk/Ro51","Juniper – Saskatoon – Kinnikinnick","Ro","rocky outcrop"
"234","BWBSdk/Wb03","Sb – Lingonberry – Peat moss","Wb","wetland bog "
"235","BWBSdk/Wb09","Sb – Horsetail – Peat mosses","Wb","wetland bog "
"236","BWBSdk/Wb11","Sb – Buckbean – Peat moss","Wb","wetland bog "
"237","BWBSdk/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"238","BWBSdk/Wf02","Scrub birch – Water sedge","Wf","wetland fen"
"239","BWBSdk/Wf05","Slender sedge – Common hook moss","Wf","wetland fen"
"240","BWBSdk/Wf07","Scrub birch – Buckbean – Shore sedge","Wf","wetland fen"
"241","BWBSdk/Wf08","Shore sedge – Buckbean – Hook moss","Wf","wetland fen"
"242","BWBSdk/Wf11","Tufted clubrush – Star moss","Wf","wetland fen"
"243","BWBSdk/Wf14","Tea-leaved willow – Water sedge – Glow moss","Wf","wetland fen"
"244","BWBSdk/Wm01","Beaked sedge – Water sedge","Wm","wetland marsh"
"245","BWBSdk/Wm02","Water horsetail – Beaked sedge","Wm","wetland marsh"
"246","BWBSdk/Ws05","MacCalla's willow – Beaked sedge","Ws","wetland swamp"
"247","BWBSdk/Ws15","SwSb – Labrador tea – Glow moss","Ws","wetland swamp"
"248","BWBSmk/101","Sw – Lingonberry – Step moss",NA,NA
"249","BWBSmk/101$6B.1","At – Green alder – High bush-cranberry",NA,NA
"250","BWBSmk/101$6B.2","EpAt – Sarsaparilla",NA,NA
"251","BWBSmk/102","Pl – Kinnikinnick – Lingonberry",NA,NA
"252","BWBSmk/102$6B.1","At – Soopolallie – Kinnikinnick",NA,NA
"253","BWBSmk/103","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","insolation"
"254","BWBSmk/103$6B.1","At – Rose – Fuzzy-spiked wildrye",NA,NA
"255","BWBSmk/104","Sb – Labrador tea – Step moss","CA","cold aspects - cold air"
"256","BWBSmk/104$6B.1","At – Labrador tea – Lingonberry",NA,NA
"257","BWBSmk/104a","Sb – Labrador tea – Step moss; Freely drained phase",NA,NA
"258","BWBSmk/104b","Sb – Labrador tea – Step moss; Imperfectly/poorly drained phase",NA,NA
"259","BWBSmk/110","Sw – Currant – Horsetail",NA,NA
"260","BWBSmk/110$6B.1","At – Horsetail – Step moss",NA,NA
"261","BWBSmk/111","Sw – Mountain alder – Horsetail","Fh","high fluvial bench"
"262","BWBSmk/112","AcbSw – Mountain alder – Dogwood","Fm","mid fluvial bench"
"263","BWBSmk/Fl03","Pacific willow – Red-osier dogwood – Horsetail","Fl","low fluvial bench"
"264","BWBSmk/Fl05","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"265","BWBSmk/Fl06","Sandbar willow","Fl","low fluvial bench"
"266","BWBSmk/Fm20","Balsam Poplar – Spruce – Mountain alder – Dogwood","Fm","mid fluvial bench"
"267","BWBSmk/Gb52","Prickly rose – Fuzzy-spiked wildrye","Gb","brushland"
"268","BWBSmk/Wb03","Sb – Lingonberry – Peat moss","Wb","wetland bog "
"269","BWBSmk/Wb05","Sb – Water sedge – Peat moss","Wb","wetland bog "
"270","BWBSmk/Wb06","Lt – Water sedge – Fen moss","Wb","wetland bog "
"271","BWBSmk/Wb09","Sb – Horsetail – Peat mosses","Wb","wetland bog "
"272","BWBSmk/Wb12","Scheuchzeria – Peat moss","Wb","wetland bog "
"273","BWBSmk/Wb14","Leatherleaf – Bog-rosemary – Peat moss","Wb","wetland bog "
"274","BWBSmk/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"275","BWBSmk/Wf02","Scrub birch – Water sedge","Wf","wetland fen"
"276","BWBSmk/Wf04","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"277","BWBSmk/Wf05","Slender sedge – Common hook moss","Wf","wetland fen"
"278","BWBSmk/Wf08","Shore sedge – Buckbean – Hook moss","Wf","wetland fen"
"279","BWBSmk/Wf18","Lt – Buckbean – Shore sedge","Wf","wetland fen"
"280","BWBSmk/Wm01","Beaked sedge – Water sedge","Wm","wetland marsh"
"281","BWBSmk/Wm02","Water horsetail – Beaked sedge","Wm","wetland marsh"
"282","BWBSmk/Wm15","Bluejoint – Water sedge","Wm","wetland marsh"
"283","BWBSmk/Ws14","Mountain alder – Willow – Bluejoint","Ws","wetland swamp"
"284","BWBSmk/Ws15","SwSb – Labrador tea – Glow moss","Ws","wetland swamp"
"285","BWBSmw/101","Sw – Trailing raspberry – Step moss",NA,NA
"286","BWBSmw/101$6B.1","At – Rose – Creamy peavine",NA,NA
"287","BWBSmw/102","Pl – Kinnikinnick – Lingonberry",NA,NA
"288","BWBSmw/102$6B.1","At – Soopolallie – Kinnikinnick",NA,NA
"289","BWBSmw/103","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","insolation"
"290","BWBSmw/103$6B.1","At – Rose – Fuzzy-spiked wildrye",NA,NA
"291","BWBSmw/104","Sb – Labrador tea – Step moss","CA","cold aspects - cold air"
"292","BWBSmw/104$6B.1","At – Labrador tea – Lingonberry",NA,NA
"293","BWBSmw/110","Sw – Oak fern – Sarsaparilla",NA,NA
"294","BWBSmw/110$6B.1","At – High bush-cranberry – Oak fern",NA,NA
"295","BWBSmw/111","Sw – Currant – Horsetail","Fh","high fluvial bench"
"296","BWBSmw/111$6B.1","Acb – Dogwood – High bush-cranberry",NA,NA
"297","BWBSmw/111$6B.2","At – Cow parsnip – Meadowrue",NA,NA
"298","BWBSmw/112","AcbSw – Mountain alder – Dogwood","Fm","mid fluvial bench"
"299","BWBSmw/Fm20","Balsam Poplar – Spruce – Mountain alder – Dogwood","Fm","mid fluvial bench"
"300","BWBSmw/Gb51","Saskatoon – Blue wildrye","Gb","brushland"
"301","BWBSmw/Gg51","Slender wildrye – Prairie wormwood","Gg","grassland "
"302","BWBSmw/Wb01","Sb – Creeping-snowberry – Sphagnum","Wb","wetland bog "
"303","BWBSmw/Wb03","Sb – Lingonberry – Peat moss","Wb","wetland bog "
"304","BWBSmw/Wb05","Sb – Water sedge – Peat moss","Wb","wetland bog "
"305","BWBSmw/Wb06","Lt – Water sedge – Fen moss","Wb","wetland bog "
"306","BWBSmw/Wb09","Sb – Horsetail – Peat mosses","Wb","wetland bog "
"307","BWBSmw/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"308","BWBSmw/Wf02","Scrub birch – Water sedge","Wf","wetland fen"
"309","BWBSmw/Wf18","Lt – Buckbean – Shore sedge","Wf","wetland fen"
"310","BWBSmw/Ws15","SwSb – Labrador tea – Glow moss","Ws","wetland swamp"
"311","BWBSwk1/101","SwBl – Huckleberry – Feather moss",NA,NA
"312","BWBSwk1/101$6B.1","At – Birch-leaved spirea – Huckleberry",NA,NA
"313","BWBSwk1/102","Pl – Lingonberry – Reindeer lichens",NA,NA
"314","BWBSwk1/102$6B.1","At – Kinnikinnick – Fuzzy-spiked wildrye",NA,NA
