bgc,ss_nospace,sppsplit,suitability,spp,newsuit1,mod1,newsuit,mod,outrange,Action,MR response,Notes 
BGxh1,BGxh1/110,At,2,At,2,MRyan,NA,NA,NA,delete,Delete,Note - I am very uncertain about broadleaf species. 
ESSFdc2,ESSFdc2/112,Pli,2,Pl,2,MRyan,NA,NA,NA,2,Include,I am doing a query of deciduous for the entire TO Region using VRI and eocsystem mapping and will have a better idea
ESSFdh1,ESSFdh1/101,At,2,At,2,MRyan,NA,NA,NA,delete,delete,of which BGC units and site series support the presence of At and Ep.
ESSFdh1,ESSFdh1/103,At,2,At,2,MRyan,NA,NA,NA,delete,delete,
ESSFdv1,ESSFdv1/02,At,3,At,3,,NA,NA,NA,delete,Delete,
ESSFdv1,ESSFdv1/05,Pli,2,Pl,2,D6,NA,NA,NA,3,3,
ESSFdv1,ESSFdv1/06,Pa,2,Pa,2,,NA,NA,NA,delete,Delete,
ESSFdv2,ESSFdv2/02,At,3,At,3,,NA,NA,NA,delete,Delete,
ESSFdv2,ESSFdv2/06,Pa,2,Pa,2,,NA,NA,NA,delete,Delete,
ESSFmw1,ESSFmw1/101.1,Ba,2,Ba,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.1,Bl,2,Bl,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.1,Hm,2,Hm,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.1,Hw,2,Hw,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.1,Pli,3,Pl,3,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.1,Se,1,Sx,1,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.2,Ba,2,Ba,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.2,Bl,2,Bl,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.2,Hm,2,Hm,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.2,Hw,2,Hw,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.2,Pli,3,Pl,3,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/101.2,Se,1,Sx,1,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFmw1/101 so I don't know where this is from
ESSFmw1,ESSFmw1/102.1,Bl,2,Bl,2,MRyan,NA,NA,NA,3,,I did not assign separate values to the variations of the 102 but if you want to….
ESSFmw1,ESSFmw1/102.1,Fdi,3,Fd,3,MRyan,NA,NA,NA,4,,I did not assign separate values to the variations of the 102 but if you want to….
ESSFmw1,ESSFmw1/102.1,Pli,2,Pl,2,MRyan,NA,NA,NA,3,,I did not assign separate values to the variations of the 102 but if you want to….
ESSFmw1,ESSFmw1/102.1,Se,2,Sx,2,MRyan,NA,NA,NA,3,,I did not assign separate values to the variations of the 102 but if you want to….
ESSFmw1,ESSFmw1/102.2,Bl,2,Bl,2,MRyan,NA,NA,NA,3,,I did not assign separate values to the variations of the 102 but if you want to….
ESSFmw1,ESSFmw1/102.2,Fdi,3,Fd,3,MRyan,NA,NA,NA,4,,I did not assign separate values to the variations of the 102 but if you want to….
ESSFmw1,ESSFmw1/102.2,Pa,2,Pa,2,MRyan,NA,NA,NA,3,,I did not assign separate values to the variations of the 102 but if you want to….
ESSFmw1,ESSFmw1/102.2,Se,2,Sx,2,MRyan,NA,NA,NA,3,,I did not assign separate values to the variations of the 102 but if you want to….
ESSFmw1,ESSFmw1/104,At,2,At,2,MRyan,NA,NA,NA,delete,Delete,
ESSFmw2,ESSFmw2/02,Fdi,2,Fd,2,,NA,NA,NA,delete,Delete,
ESSFmw2,ESSFmw2/03,Pa,3,Pa,3,B2,NA,NA,NA,delete,Delete,
ESSFmw2,ESSFmw2/04,Fdi,2,Fd,2,,NA,NA,NA,delete,Delete,
ESSFmw2,ESSFmw2/06,Pli,3,Pl,3,,NA,NA,NA,3,ok to include,203
ESSFmw2,ESSFmw2/07,Pli,3,Pl,3,D6,NA,NA,NA,3,ok to include,63
ESSFmw2,ESSFmw2/08,Cw,3,Cw,3,,NA,NA,NA,delete,delete,143
ESSFwc2,ESSFwc2/01,Lw,4,Lw,4,C4,NA,NA,NA,delete,delete,126
ESSFwc2,ESSFwc2/01,Pli,4,Pl,4,C4,NA,NA,NA,delete,Delete,
ESSFwc2,ESSFwc2/07,Pli,4,Pl,4,,NA,NA,NA,delete,Delete,
ESSFwc2,ESSFwc2/08,Pli,4,Pl,4,D6,NA,NA,NA,delete,Delete,
ESSFxc1,ESSFxc1/102,Fdi,3,Fd,3,MRyan,NA,NA,NA,3,ok to include,
ESSFxc1,ESSFxc1/104,Lw,3,Lw,3,MRyan,NA,NA,NA,delete,Delete,
ESSFxc1,ESSFxc1/105,Lw,3,Lw,3,MRyan,NA,NA,NA,delete,Delete,
ESSFxc2,ESSFxc2/102,Se,3,Sx,3,MRyan,NA,NA,NA,delete,Delete,
ESSFxc2,ESSFxc2/103a,Bl,2,Bl,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFxc2/103 so I don't know where this is from
ESSFxc2,ESSFxc2/103a,Pli,2,Pl,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFxc2/103 so I don't know where this is from
ESSFxc2,ESSFxc2/103a,Se,2,Sx,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFxc2/103 so I don't know where this is from
ESSFxc2,ESSFxc2/103b,Bl,2,Bl,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFxc2/103 so I don't know where this is from
ESSFxc2,ESSFxc2/103b,Pli,2,Pl,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFxc2/103 so I don't know where this is from
ESSFxc2,ESSFxc2/103b,Se,2,Sx,2,MRyan,NA,NA,NA,delete,,No variations are now recognized for the ESSFxc2/103 so I don't know where this is from
ESSFxc2,ESSFxc2/111,Pli,1,Pl,1,MRyan,NA,NA,NA,delete,Delete,
ESSFxc3,ESSFxc3/10,Bl,NA,Bl,4,REVIEW,NA,NA,NA,4,this is a nonforested unit,
ESSFxc3,ESSFxc3/10,Se,NA,Sx,4,REVIEW,NA,NA,NA,4,this is a nonforested unit,
ICHdw3,ICHdw3/01,Act,3,Ac,3,C4,NA,NA,NA,delete,delete,
ICHdw3,ICHdw3/02,Ep,3,Ep,3,,NA,NA,NA,delete,Delete,
ICHdw3,ICHdw3/02,Lw,3,Lw,3,,NA,NA,NA,3,ok to include,
ICHdw3,ICHdw3/03,Bl,3,Bl,3,B2,NA,NA,NA,delete,delete,
